provinsi,kab_kota
Jawa Tengah,13. Kabupaten Kendal
Jawa Tengah,14. Kabupaten Klaten
Jawa Tengah,15. Kabupaten Kudus
Jawa Tengah,16. Kabupaten Magelang
Jawa Tengah,17. Kabupaten Pati
Jawa Tengah,18. Kabupaten Pekalongan
Jawa Tengah,19. Kabupaten Pemalang
Jawa Tengah,20. Kabupaten Purbalingga
Jawa Tengah,21. Kabupaten Purworejo
Jawa Tengah,22. Kabupaten Rembang
Jawa Tengah,23. Kabupaten Semarang
Jawa Tengah,24. Kabupaten Sragen
Jawa Tengah,25. Kabupaten Sukoharjo
Jawa Tengah,26. Kabupaten Tegal
Jawa Tengah,27. Kabupaten Temanggung
Jawa Tengah,28. Kabupaten Wonogiri
Jawa Tengah,29. Kabupaten Wonosobo
Jawa Tengah,30. Kota Magelang
Jawa Tengah,31. Kota Pekalongan
Jawa Tengah,32. Kota Salatiga
Jawa Tengah,33. Kota Semarang
Jawa Tengah,34. Kota Surakarta
Jawa Tengah,35. Kota Tegal
Jawa Timur,1. Kabupaten Bangkalan
Jawa Timur,2. Kabupaten Banyuwangi
Jawa Timur,3. Kabupaten Blitar
Jawa Timur,4. Kabupaten Bojonegoro
Jawa Timur,5. Kabupaten Bondowoso
Jawa Timur,6. Kabupaten Gresik
Jawa Timur,7. Kabupaten Jember
Jawa Timur,8. Kabupaten Jombang
Jawa Timur,9. Kabupaten Kediri
Jawa Timur,10. Kabupaten Lamongan
Jawa Timur,11. Kabupaten Lumajang
Jawa Timur,12. Kabupaten Madiun
Jawa Timur,13. Kabupaten Magetan
Jawa Timur,14. Kabupaten Malang
Jawa Timur,15. Kabupaten Mojokerto
Jawa Timur,16. Kabupaten Nganjuk
Jawa Timur,17. Kabupaten Ngawi
Jawa Timur,18. Kabupaten Pacitan
Jawa Timur,19. Kabupaten Pamekasan
Jawa Timur,20. Kabupaten Pasuruan
Jawa Timur,21. Kabupaten Ponorogo
Jawa Timur,22. Kabupaten Probolinggo
Jawa Timur,23. Kabupaten Sampang
Jawa Timur,24. Kabupaten Sidoarjo
Jawa Timur,25. Kabupaten Situbondo
Jawa Timur,26. Kabupaten Sumenep
Jawa Timur,27. Kabupaten Trenggalek
Jawa Timur,28. Kabupaten Tuban
Jawa Timur,29. Kabupaten Tulungagung
Jawa Timur,30. Kota Batu
Jawa Timur,31. Kota Blitar
Jawa Timur,32. Kota Kediri
Jawa Timur,33. Kota Madiun
Jawa Timur,34. Kota Malang
Jawa Timur,35. Kota Mojokerto
Jawa Timur,36. Kota Pasuruan
Jawa Timur,37. Kota Probolinggo
Jawa Timur,38. Kota Surabaya
DKI Jakarta,1. Kota Administrasi Jakarta Barat
DKI Jakarta,2. Kota Administrasi Jakarta Pusat
DKI Jakarta,3. Kota Administrasi Jakarta Selatan
DKI Jakarta,4. Kota Administrasi Jakarta Timur
DKI Jakarta,5. Kota Administrasi Jakarta Utara
DKI Jakarta,6. Kabupaten Administrasi Kepulauan Seribu
DI Yogyakarta,1. Kabupaten Bantul
DI Yogyakarta,2. Kabupaten Gunungkidul
DI Yogyakarta,3. Kabupaten Kulon Progo
DI Yogyakarta,4. Kabupaten Sleman
DI Yogyakarta,5. Kota Yogyakarta
Bali,1. Kabupaten Badung
Bali,2. Kabupaten Bangli
Bali,3. Kabupaten Buleleng
Bali,4. Kabupaten Gianyar
Bali,5. Kabupaten Jembrana
Bali,6. Kabupaten Karangasem
Bali,7. Kabupaten Klungkung
Bali,8. Kabupaten Tabanan
Bali,9. Kota Denpasar
Nusa Tenggara Barat,1. Kabupaten Bima
Nusa Tenggara Barat,2. Kabupaten Dompu
Nusa Tenggara Barat,3. Kabupaten Lombok Barat
Nusa Tenggara Barat,4. Kabupaten Lombok Tengah
Nusa Tenggara Barat,5. Kabupaten Lombok Timur
Nusa Tenggara Barat,6. Kabupaten Lombok Utara
Nusa Tenggara Barat,7. Kabupaten Sumbawa
Nusa Tenggara Barat,8. Kabupaten Sumbawa Barat
Nusa Tenggara Barat,9. Kota Bima
Nusa Tenggara Barat,10. Kota Mataram
Nusa Tenggara Timur,1. Kabupaten Alor
Nusa Tenggara Timur,2. Kabupaten Belu
Nusa Tenggara Timur,3. Kabupaten Ende
Nusa Tenggara Timur,4. Kabupaten Flores Timur
Nusa Tenggara Timur,5. Kabupaten Kupang
Nusa Tenggara Timur,6. Kabupaten Lembata
Nusa Tenggara Timur,7. Kabupaten Malaka
Nusa Tenggara Timur,8. Kabupaten Manggarai
Nusa Tenggara Timur,9. Kabupaten Manggarai Barat
Nusa Tenggara Timur,10. Kabupaten Manggarai Timur
Nusa Tenggara Timur,11. Kabupaten Ngada
Nusa Tenggara Timur,12. Kabupaten Nagekeo
Nusa Tenggara Timur,13. Kabupaten Rote Ndao
Nusa Tenggara Timur,14. Kabupaten Sabu Raijua
Nusa Tenggara Timur,15. Kabupaten Sikka
Nusa Tenggara Timur,16. Kabupaten Sumba Barat
Nusa Tenggara Timur,17. Kabupaten Sumba Barat Daya
Nusa Tenggara Timur,18. Kabupaten Sumba Tengah
Nusa Tenggara Timur,19. Kabupaten Sumba Timur
Nusa Tenggara Timur,20. Kabupaten Timor Tengah Selatan
Nusa Tenggara Timur,21. Kabupaten Timor Tengah Utara
Nusa Tenggara Timur,22. Kota Kupang
Kalimantan Barat,1. Kabupaten Bengkayang
Kalimantan Barat,2. Kabupaten Kapuas Hulu
Kalimantan Barat,3. Kabupaten Kayong Utara
Kalimantan Barat,4. Kabupaten Ketapang
Kalimantan Barat,5. Kabupaten Kubu Raya
Kalimantan Barat,6. Kabupaten Landak
Kalimantan Barat,7. Kabupaten Melawi
Kalimantan Barat,8. Kabupaten Mempawah
Kalimantan Barat,9. Kabupaten Sambas
Kalimantan Barat,10. Kabupaten Sanggau
Kalimantan Barat,11. Kabupaten Sekadau
Kalimantan Barat,12. Kabupaten Sintang
Kalimantan Barat,13. Kota Pontianak
Kalimantan Barat,14. Kota Singkawang
Kalimantan Selatan,1. Kabupaten Balangan
Kalimantan Selatan,2. Kabupaten Banjar
Kalimantan Selatan,3. Kabupaten Barito Kuala
Kalimantan Selatan,4. Kabupaten Hulu Sungai Selatan
Kalimantan Selatan,5. Kabupaten Hulu Sungai Tengah
Kalimantan Selatan,6. Kabupaten Hulu Sungai Utara
Kalimantan Selatan,7. Kabupaten Kotabaru
Kalimantan Selatan,8. Kabupaten Tabalong
Kalimantan Selatan,9. Kabupaten Tanah Bumbu
Kalimantan Selatan,10. Kabupaten Tanah Laut
Kalimantan Selatan,11. Kabupaten Tapin
Kalimantan Selatan,12. Kota Banjarbaru
Kalimantan Selatan,13. Kota Banjarmasin
Kalimantan Tengah,1. Kabupaten Barito Selatan
Kalimantan Tengah,2. Kabupaten Barito Timur
Kalimantan Tengah,3. Kabupaten Barito Utara
Kalimantan Tengah,4. Kabupaten Gunung Mas
Kalimantan Tengah,5. Kabupaten Kapuas
Kalimantan Tengah,6. Kabupaten Katingan
Kalimantan Tengah,7. Kabupaten Kotawaringin Barat
Kalimantan Tengah,8. Kabupaten Kotawaringin Timur
Kalimantan Tengah,9. Kabupaten Lamandau
Kalimantan Tengah,10. Kabupaten Murung Raya
Kalimantan Tengah,11. Kabupaten Pulang Pisau
Kalimantan Tengah,12. Kabupaten Sukamara
Kalimantan Tengah,13. Kabupaten Seruyan
Kalimantan Tengah,14. Kota Palangka Raya
Kalimantan Timur,1. Kabupaten Berau
Kalimantan Timur,2. Kabupaten Kutai Barat
Kalimantan Timur,3. Kabupaten Kutai Kartanegara
Kalimantan Timur,4. Kabupaten Kutai Timur
Kalimantan Timur,5. Kabupaten Mahakam Ulu
Kalimantan Timur,6. Kabupaten Paser
Kalimantan Timur,7. Kabupaten Penajam Paser Utara
Kalimantan Timur,8. Kota Balikpapan
Kalimantan Timur,9. Kota Bontang
Kalimantan Timur,10. Kota Samarinda
Kalimantan Utara,1. Kabupaten Bulungan
Kalimantan Utara,2. Kabupaten Malinau
Kalimantan Utara,3. Kabupaten Nunukan
Kalimantan Utara,4. Kabupaten Tana Tidung
Kalimantan Utara,5. Kota Tarakan
Gorontalo,1. Kabupaten Boalemo
Gorontalo,2. Kabupaten Bone Bolango
Gorontalo,3. Kabupaten Gorontalo
Gorontalo,4. Kabupaten Gorontalo Utara
Gorontalo,5. Kabupaten Pohuwato
Gorontalo,6. Kota Gorontalo
Sulawesi Selatan,1. Kabupaten Bantaeng
Sulawesi Selatan,2. Kabupaten Barru
Sulawesi Selatan,3. Kabupaten Bone
Sulawesi Selatan,4. Kabupaten Bulukumba
Sulawesi Selatan,5. Kabupaten Enrekang
Sulawesi Selatan,6. Kabupaten Gowa
Sulawesi Selatan,7. Kabupaten Jeneponto
Sulawesi Selatan,8. Kabupaten Kepulauan Selayar
Sulawesi Selatan,9. Kabupaten Luwu
Sulawesi Selatan,10. Kabupaten Luwu Timur
Sulawesi Selatan,11. Kabupaten Luwu Utara
Sulawesi Selatan,12. Kabupaten Maros
Sulawesi Selatan,13. Kabupaten Pangkajene dan Kepulauan
Sulawesi Selatan,14. Kabupaten Pinrang
Sulawesi Selatan,15. Kabupaten Sidenreng Rappang
Sulawesi Selatan,16. Kabupaten Sinjai
Sulawesi Selatan,17. Kabupaten Soppeng
Sulawesi Selatan,18. Kabupaten Takalar
Sulawesi Selatan,19. Kabupaten Tana Toraja
Sulawesi Selatan,20. Kabupaten Toraja Utara
Sulawesi Selatan,21. Kabupaten Wajo
Sulawesi Selatan,22. Kota Makassar
Sulawesi Selatan,23. Kota Palopo
Sulawesi Selatan,24. Kota Parepare
Sulawesi Tenggara,1. Kabupaten Bombana
Sulawesi Tenggara,2. Kabupaten Buton
Sulawesi Tenggara,3. Kabupaten Buton Selatan
Sulawesi Tenggara,4. Kabupaten Buton Tengah
Sulawesi Tenggara,5. Kabupaten Buton Utara
Sulawesi Tenggara,6. Kabupaten Kolaka
Sulawesi Tenggara,7. Kabupaten Kolaka Timur
Sulawesi Tenggara,8. Kabupaten Kolaka Utara
Sulawesi Tenggara,9. Kabupaten Konawe
Sulawesi Tenggara,10. Kabupaten Konawe Kepulauan
Sulawesi Tenggara,11. Kabupaten Konawe Selatan
Sulawesi Tenggara,12. Kabupaten Konawe Utara
Sulawesi Tenggara,13. Kabupaten Muna
Sulawesi Tenggara,14. Kabupaten Muna Barat
Sulawesi Tenggara,15. Kabupaten Wakatobi
Sulawesi Tenggara,16. Kota Bau-Bau
Sulawesi Tenggara,17. Kota Kendari
Sulawesi Tengah,1. Kabupaten Banggai
Sulawesi Tengah,2. Kabupaten Banggai Kepulauan
Sulawesi Tengah,3. Kabupaten Banggai Laut
Sulawesi Tengah,4. Kabupaten Buol
